Company,Ticker,Current Price,Market Cap,P/E Ratio,52 Week High,52 Week Low
Apple Inc.,AAPL,298.01,4380000000000.0,36.12,317.4,198.96
"Tesla, Inc.",TSLA,400.49,1500000000000.0,370.82,498.83,288.77
